category,name,description,price,badge
Espresso Drinks,The Classic Espresso,A double shot of our house-blend espresso — bright acidity with a rich caramel finish. Pure and unapologetic.,3.50,House Favorite
Espresso Drinks,Cortado,Equal parts espresso and warm steamed milk. The perfect middle ground between bold and smooth.,4.00,
Espresso Drinks,Flat White,Velvety microfoam poured over a double ristretto shot. Richer than a latte with a more intense espresso flavour.,5.00,Popular
Espresso Drinks,Vanilla Oat Latte,Our signature latte with house-made vanilla syrup and creamy oat milk. Subtly sweet and dangerously drinkable.,5.50,Popular
Espresso Drinks,Honey Lavender Latte,Espresso with lavender-infused honey and steamed milk. Floral and gently sweet — a perennial crowd-pleaser.,5.75,House Favorite
Espresso Drinks,Dirty Chai,A shot of espresso pulled right into a spiced masala chai. Bold meets warming.,5.50,
Espresso Drinks,Caramel Macchiato,"Freshly steamed milk with vanilla syrup, a double espresso poured over the top, and a drizzle of house caramel.",5.75,Popular
Cold Drinks,Cold Brew,"Steeped for 18 hours in cold water for a naturally sweet and ultra-smooth concentrate. Served over ice.",4.50,Popular
Cold Drinks,Nitro Cold Brew,"Our cold brew on nitrogen tap — silky, creamy, and ridiculously smooth with a cascading pour. No milk needed.",5.50,House Favorite
Cold Drinks,Iced Brown Sugar Espresso,"Espresso shaken over ice with brown sugar syrup and a splash of oat milk. Bold and refreshing.",5.50,Popular
Cold Drinks,Chocolate Mudslide Shake,"A thick, indulgent shake blending espresso, dark cocoa, house chocolate sauce, and vanilla ice cream.",7.50,House Favorite
Cold Drinks,Mango Passionfruit Iced Tea,House-brewed green tea shaken with mango and passionfruit puree over ice. Bright and tropical.,4.75,
Cold Drinks,Strawberry Matcha Latte,Ceremonial-grade matcha layered over strawberry cold foam and oat milk. As beautiful as it is delicious.,6.00,Popular
Pastries,Almond Croissant,"Our all-butter croissant soaked in almond syrup, filled with frangipane, and topped with flaked almonds. Baked fresh daily.",4.50,House Favorite
Pastries,Dark Chocolate Babka,A swirled loaf of buttery brioche ribbon with a deep 70% dark chocolate filling. Sold by the thick slice.,4.75,Popular
Pastries,Cardamom Kouign-Amann,"A caramelised, laminated pastry with a hint of cardamom and a shatteringly crisp sugar crust.",4.50,House Favorite
Pastries,Lemon Ricotta Muffin,"Moist ricotta muffin with lemon zest, a streusel crumb topping, and a drizzle of lemon glaze.",3.75,
Pastries,Blueberry Scone,Classic buttermilk scone studded with fresh blueberries. Served with clotted cream and house jam on request.,3.50,
Sandwiches,Prosciutto & Fig Ciabatta,"Toasted ciabatta with prosciutto di Parma, fresh fig, whipped ricotta, baby rocket, and a balsamic glaze.",11.50,House Favorite
Sandwiches,Smashed Avocado Sourdough,"Thick-cut sourdough toasted and loaded with smashed avocado, everything bagel seasoning, chilli flakes, and a soft poached egg.",12.00,Popular
Sandwiches,Turkey Pesto Club,"Layered club on seeded sourdough with sliced turkey, house basil pesto, sun-dried tomato, Swiss cheese, and crisp lettuce.",12.50,
Sandwiches,Mushroom & Gruyère Melt,"Open-faced toasted sourdough with slow-roasted mushrooms, caramelised onion, Gruyère, and fresh thyme.",11.00,Popular
